flight_id,departure_city,arrival_city,flight_time,model,count_seats,sell_tickets,amount
136316,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,130,1886000.00
136320,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,106,1544400.00
136322,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,108,1567600.00
136345,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,108,1517600.00
136348,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,120,1762800.00
136351,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,105,1555400.00
136360,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,97,1455400.00
136366,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,103,1527400.00
136383,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,106,1493200.00
136387,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,121,1775000.00
136389,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,129,1873800.00
136403,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,129,1873800.00
136411,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,110,1590800.00
136420,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,104,1542000.00
136423,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,129,1849400.00
136428,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,115,1678600.00
136436,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,124,1811600.00
136439,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,117,1701800.00
136441,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,128,1837200.00
136452,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,109,1603000.00
136458,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,110,1568800.00
136463,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,122,1788400.00
136464,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,100,1398000.00
136471,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,120,1762800.00
136479,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,122,1738400.00
136485,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,106,1520000.00
136486,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,107,1505400.00
136511,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136513,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136514,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136523,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136540,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136544,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136546,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136560,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136567,Anapa,Novokuznetsk,0 years 0 mons 0 days 5 hours 5 mins 0.00 secs,Boeing 737-300,130,0,
136571,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,95,752700.00
136586,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136600,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136605,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136609,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,81,639300.00
136612,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,94,746400.00
136620,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,79,613500.00
136630,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,94,746400.00
136632,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,91,714300.00
136642,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,64,531000.00
136645,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,82,633000.00
136649,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136654,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136660,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,87,677100.00
136661,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136666,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,87,664500.00
136669,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,95,752700.00
136672,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136678,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,80,631200.00
136706,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,95,740100.00
136709,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,87,689700.00
136720,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,95,752700.00
136729,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,88,695400.00
136733,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,94,746400.00
136754,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,90,721200.00
136755,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136757,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136758,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136767,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,83,651300.00
136769,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,88,696000.00
136778,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136780,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,89,714900.00
136781,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136802,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,746400.00
136807,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,68,531000.00
136815,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136819,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136823,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,78,620400.00
136827,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136838,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,86,670200.00
136841,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136844,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,79,575100.00
136855,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,87,702300.00
136857,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136861,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,87,689100.00
136869,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136871,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136875,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136887,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,78,595200.00
136888,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,79,626100.00
136900,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136907,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,759000.00
136922,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,76,607800.00
136927,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136936,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,82,632400.00
136937,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,81,626100.00
136951,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,90,720600.00
136953,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,97,765300.00
136956,Anapa,Belgorod,0 years 0 mons 0 days 0 hours 50 mins 0.00 secs,Sukhoi Superjet-100,97,96,746400.00
